person,question,response_n,response,choices_json
p13,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p14,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p14,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p15,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p15,At what kind of facilities would you like to see the meetup?,1,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p15,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p16,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p16,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p17,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p17,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p18,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p18,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p19,At what kind of facilities would you like to see the meetup?,0,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p19,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p19,At what kind of facilities would you like to see the meetup?,2,classrooms,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p20,At what kind of facilities would you like to see the meetup?,0,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p20,At what kind of facilities would you like to see the meetup?,1,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p20,At what kind of facilities would you like to see the meetup?,2,Anywhere with beer,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p21,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p21,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p22,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p23,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p23,At what kind of facilities would you like to see the meetup?,1,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p23,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p24,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p24,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p24,At what kind of facilities would you like to see the meetup?,2,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p25,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p25,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p25,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p25,At what kind of facilities would you like to see the meetup?,3,UW Facilities? If available to non-students,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p26,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p26,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p27,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p27,At what kind of facilities would you like to see the meetup?,1,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p27,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p28,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p29,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p29,At what kind of facilities would you like to see the meetup?,1,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p29,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p30,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p30,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p31,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p31,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p32,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p32,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p33,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p33,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
