person,question,response_str,response_n,response
p27,q9,"Libraries, Bars, Restaurants, Offices, coffee shops, maker spaces; just about anywhere as long as it's comfortable, not too noisy/many distractions, the venue has sufficient seating/space, and has or supports appropriate presentation equipment",8,and has or supports appropriate presentation equipment
p35,q9,Libraries,0,Libraries
p15,q9,"Libraries, Bars, Restaurants, Offices",0,Libraries
p15,q9,"Libraries, Bars, Restaurants, Offices",1,Bars
p15,q9,"Libraries, Bars, Restaurants, Offices",2,Restaurants
p15,q9,"Libraries, Bars, Restaurants, Offices",3,Offices
p57,q9,"Libraries, Bars, Restaurants, Offices, Campus",0,Libraries
p57,q9,"Libraries, Bars, Restaurants, Offices, Campus",1,Bars
p57,q9,"Libraries, Bars, Restaurants, Offices, Campus",2,Restaurants
p57,q9,"Libraries, Bars, Restaurants, Offices, Campus",3,Offices
p57,q9,"Libraries, Bars, Restaurants, Offices, Campus",4,Campus
p0,q9,"Bars, Restaurants, Anywhere with beer",0,Bars
p0,q9,"Bars, Restaurants, Anywhere with beer",1,Restaurants
p0,q9,"Bars, Restaurants, Anywhere with beer",2,Anywhere with beer
p14,q9,,0,
p7,q9,"Libraries, Offices",0,Libraries
p7,q9,"Libraries, Offices",1,Offices
p40,q9,"Libraries, Offices",0,Libraries
p40,q9,"Libraries, Offices",1,Offices
p55,q9,"Libraries, Restaurants, Offices",0,Libraries
p55,q9,"Libraries, Restaurants, Offices",1,Restaurants
p55,q9,"Libraries, Restaurants, Offices",2,Offices
p59,q9,"Libraries, Offices",0,Libraries
p59,q9,"Libraries, Offices",1,Offices
p79,q9,"Libraries, Bars, Restaurants, Offices",0,Libraries
p79,q9,"Libraries, Bars, Restaurants, Offices",1,Bars
p79,q9,"Libraries, Bars, Restaurants, Offices",2,Restaurants
p79,q9,"Libraries, Bars, Restaurants, Offices",3,Offices
p60,q9,"Libraries, Bars, Offices",0,Libraries
p60,q9,"Libraries, Bars, Offices",1,Bars
p60,q9,"Libraries, Bars, Offices",2,Offices
p6,q9,"Libraries, Bars, Offices",0,Libraries
p6,q9,"Libraries, Bars, Offices",1,Bars
p6,q9,"Libraries, Bars, Offices",2,Offices
p48,q9,"Libraries, Bars, Offices",0,Libraries
p48,q9,"Libraries, Bars, Offices",1,Bars
p48,q9,"Libraries, Bars, Offices",2,Offices
p5,q9,"Libraries, Restaurants, Offices",0,Libraries
p5,q9,"Libraries, Restaurants, Offices",1,Restaurants
p5,q9,"Libraries, Restaurants, Offices",2,Offices
p67,q9,"Libraries, Offices",0,Libraries
p67,q9,"Libraries, Offices",1,Offices
p54,q9,"Libraries, Offices",0,Libraries
p54,q9,"Libraries, Offices",1,Offices
p70,q9,"Libraries, Offices",0,Libraries
p70,q9,"Libraries, Offices",1,Offices
p4,q9,"Libraries, Bars, Restaurants, Offices",0,Libraries
p4,q9,"Libraries, Bars, Restaurants, Offices",1,Bars
p4,q9,"Libraries, Bars, Restaurants, Offices",2,Restaurants
p4,q9,"Libraries, Bars, Restaurants, Offices",3,Offices
p11,q9,"Libraries, Bars",0,Libraries
p11,q9,"Libraries, Bars",1,Bars
p47,q9,"Libraries, Bars",0,Libraries
p47,q9,"Libraries, Bars",1,Bars
p69,q9,"Libraries, Offices",0,Libraries
p69,q9,"Libraries, Offices",1,Offices
p61,q9,"Libraries, Restaurants, Offices",0,Libraries
p61,q9,"Libraries, Restaurants, Offices",1,Restaurants
p61,q9,"Libraries, Restaurants, Offices",2,Offices
p31,q9,"Libraries, Bars, Offices",0,Libraries
p31,q9,"Libraries, Bars, Offices",1,Bars
p31,q9,"Libraries, Bars, Offices",2,Offices
p28,q9,"Libraries, Offices",0,Libraries
p28,q9,"Libraries, Offices",1,Offices
p25,q9,"Libraries, Offices",0,Libraries
p25,q9,"Libraries, Offices",1,Offices
p17,q9,"Libraries, Bars, Offices, UW Facilities? If available to non-students",0,Libraries
p17,q9,"Libraries, Bars, Offices, UW Facilities? If available to non-students",1,Bars
p17,q9,"Libraries, Bars, Offices, UW Facilities? If available to non-students",2,Offices
p17,q9,"Libraries, Bars, Offices, UW Facilities? If available to non-students",3,UW Facilities? If available to non-students
p75,q9,"Libraries, Bars",0,Libraries
p75,q9,"Libraries, Bars",1,Bars
p10,q9,"Libraries, Bars",0,Libraries
p10,q9,"Libraries, Bars",1,Bars
p72,q9,"Libraries, Offices",0,Libraries
p72,q9,"Libraries, Offices",1,Offices
p81,q9,"Libraries, Bars, Restaurants, coffee shops",0,Libraries
