person,question,response_str,response_n,response
p24,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Containers Madison (https://www.meetup.com/Containers-Madison), Elastic Madison (https://www.meetup.com/Madison-Milwaukee-Elastic-Fantastics), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",1, Big Data Madison (https://www.meetup.com/BigDataMadison)
p24,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Containers Madison (https://www.meetup.com/Containers-Madison), Elastic Madison (https://www.meetup.com/Madison-Milwaukee-Elastic-Fantastics), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",2, Containers Madison (https://www.meetup.com/Containers-Madison)
p24,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Containers Madison (https://www.meetup.com/Containers-Madison), Elastic Madison (https://www.meetup.com/Madison-Milwaukee-Elastic-Fantastics), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",3, Elastic Madison (https://www.meetup.com/Madison-Milwaukee-Elastic-Fantastics)
p24,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Containers Madison (https://www.meetup.com/Containers-Madison), Elastic Madison (https://www.meetup.com/Madison-Milwaukee-Elastic-Fantastics), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",4, MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)
p25,q11,MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group),0,MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)
p26,q11,,0,
p27,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",0,MadJS (https://www.meetup.com/MadisonJS)
p27,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",1, Big Data Madison (https://www.meetup.com/BigDataMadison)
p27,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",2, Data Science Madison (http://www.meetup.com/Data-Science-Madison)
p27,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",3, MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)
p28,q11,,0,
p29,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Madison DevOps (https://www.meetup.com/Madison-Devops), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group), MadHackers (https://www.meetup.com/madhackers), Mad-Railers (https://www.meetup.com/Mad-Railers)",0,MadJS (https://www.meetup.com/MadisonJS)
p29,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Madison DevOps (https://www.meetup.com/Madison-Devops), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group), MadHackers (https://www.meetup.com/madhackers), Mad-Railers (https://www.meetup.com/Mad-Railers)",1, Big Data Madison (https://www.meetup.com/BigDataMadison)
p29,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Madison DevOps (https://www.meetup.com/Madison-Devops), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group), MadHackers (https://www.meetup.com/madhackers), Mad-Railers (https://www.meetup.com/Mad-Railers)",2, Madison DevOps (https://www.meetup.com/Madison-Devops)
p29,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Madison DevOps (https://www.meetup.com/Madison-Devops), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group), MadHackers (https://www.meetup.com/madhackers), Mad-Railers (https://www.meetup.com/Mad-Railers)",3, MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)
p29,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Madison DevOps (https://www.meetup.com/Madison-Devops), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group), MadHackers (https://www.meetup.com/madhackers), Mad-Railers (https://www.meetup.com/Mad-Railers)",4, MadHackers (https://www.meetup.com/madhackers)
p29,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Madison DevOps (https://www.meetup.com/Madison-Devops), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group), MadHackers (https://www.meetup.com/madhackers), Mad-Railers (https://www.meetup.com/Mad-Railers)",5, Mad-Railers (https://www.meetup.com/Mad-Railers)
p30,q11,,0,
p31,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Ionic Madison (https://www.meetup.com/Ionic-Madison), Madison PHP (https://www.meetup.com/madisonphp)",0,MadJS (https://www.meetup.com/MadisonJS)
p31,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Ionic Madison (https://www.meetup.com/Ionic-Madison), Madison PHP (https://www.meetup.com/madisonphp)",1, Big Data Madison (https://www.meetup.com/BigDataMadison)
p31,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Ionic Madison (https://www.meetup.com/Ionic-Madison), Madison PHP (https://www.meetup.com/madisonphp)",2, Ionic Madison (https://www.meetup.com/Ionic-Madison)
p31,q11,"MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Ionic Madison (https://www.meetup.com/Ionic-Madison), Madison PHP (https://www.meetup.com/madisonphp)",3, Madison PHP (https://www.meetup.com/madisonphp)
p32,q11,"Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), Elastic Madison (https://www.meetup.com/Madison-Milwaukee-Elastic-Fantastics), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",0,Big Data Madison (https://www.meetup.com/BigDataMadison)
p32,q11,"Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), Elastic Madison (https://www.meetup.com/Madison-Milwaukee-Elastic-Fantastics), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",1, Data Science Madison (http://www.meetup.com/Data-Science-Madison)
p32,q11,"Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), Elastic Madison (https://www.meetup.com/Madison-Milwaukee-Elastic-Fantastics), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",2, Elastic Madison (https://www.meetup.com/Madison-Milwaukee-Elastic-Fantastics)
p32,q11,"Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), Elastic Madison (https://www.meetup.com/Madison-Milwaukee-Elastic-Fantastics), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",3, MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)
p33,q11,Big Data Madison (https://www.meetup.com/BigDataMadison),0,Big Data Madison (https://www.meetup.com/BigDataMadison)
p34,q11,,0,
p35,q11,Big Data Madison (https://www.meetup.com/BigDataMadison),0,Big Data Madison (https://www.meetup.com/BigDataMadison)
p36,q11,"Big Data Madison (https://www.meetup.com/BigDataMadison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group), Madison power bi, Tableau, pass,",0,Big Data Madison (https://www.meetup.com/BigDataMadison)
p36,q11,"Big Data Madison (https://www.meetup.com/BigDataMadison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group), Madison power bi, Tableau, pass,",1, MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)
p36,q11,"Big Data Madison (https://www.meetup.com/BigDataMadison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group), Madison power bi, Tableau, pass,",2, Madison power bi
p36,q11,"Big Data Madison (https://www.meetup.com/BigDataMadison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group), Madison power bi, Tableau, pass,",3, Tableau
p36,q11,"Big Data Madison (https://www.meetup.com/BigDataMadison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group), Madison power bi, Tableau, pass,",4, pass
p36,q11,"Big Data Madison (https://www.meetup.com/BigDataMadison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group), Madison power bi, Tableau, pass,",5,
p37,q11,"Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), Madison Area Software Devs (http://www.meetup.com/softwaredev-113), Madison Women in Tech (https://www.meetup.com/Madison-Women-in-Tech)",0,Big Data Madison (https://www.meetup.com/BigDataMadison)
p37,q11,"Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), Madison Area Software Devs (http://www.meetup.com/softwaredev-113), Madison Women in Tech (https://www.meetup.com/Madison-Women-in-Tech)",1, Data Science Madison (http://www.meetup.com/Data-Science-Madison)
p37,q11,"Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), Madison Area Software Devs (http://www.meetup.com/softwaredev-113), Madison Women in Tech (https://www.meetup.com/Madison-Women-in-Tech)",2, Madison Area Software Devs (http://www.meetup.com/softwaredev-113)
p37,q11,"Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), Madison Area Software Devs (http://www.meetup.com/softwaredev-113), Madison Women in Tech (https://www.meetup.com/Madison-Women-in-Tech)",3, Madison Women in Tech (https://www.meetup.com/Madison-Women-in-Tech)
p38,q11,,0,
p39,q11,"Data Science Madison (http://www.meetup.com/Data-Science-Madison), Madison Area Software Devs (http://www.meetup.com/softwaredev-113), Madison DevOps (https://www.meetup.com/Madison-Devops), Containers Madison (https://www.meetup.com/Containers-Madison), MAST (Madison Area Science & Technology), Madison diyBio",0,Data Science Madison (http://www.meetup.com/Data-Science-Madison)
p39,q11,"Data Science Madison (http://www.meetup.com/Data-Science-Madison), Madison Area Software Devs (http://www.meetup.com/softwaredev-113), Madison DevOps (https://www.meetup.com/Madison-Devops), Containers Madison (https://www.meetup.com/Containers-Madison), MAST (Madison Area Science & Technology), Madison diyBio",1, Madison Area Software Devs (http://www.meetup.com/softwaredev-113)
p39,q11,"Data Science Madison (http://www.meetup.com/Data-Science-Madison), Madison Area Software Devs (http://www.meetup.com/softwaredev-113), Madison DevOps (https://www.meetup.com/Madison-Devops), Containers Madison (https://www.meetup.com/Containers-Madison), MAST (Madison Area Science & Technology), Madison diyBio",2, Madison DevOps (https://www.meetup.com/Madison-Devops)
p39,q11,"Data Science Madison (http://www.meetup.com/Data-Science-Madison), Madison Area Software Devs (http://www.meetup.com/softwaredev-113), Madison DevOps (https://www.meetup.com/Madison-Devops), Containers Madison (https://www.meetup.com/Containers-Madison), MAST (Madison Area Science & Technology), Madison diyBio",3, Containers Madison (https://www.meetup.com/Containers-Madison)
p39,q11,"Data Science Madison (http://www.meetup.com/Data-Science-Madison), Madison Area Software Devs (http://www.meetup.com/softwaredev-113), Madison DevOps (https://www.meetup.com/Madison-Devops), Containers Madison (https://www.meetup.com/Containers-Madison), MAST (Madison Area Science & Technology), Madison diyBio",4, MAST (Madison Area Science & Technology)
