person,question,response_str,response_n,response
p57,q12,After work hours (6pm - 9pm),0,After work hours (6pm - 9pm)
p58,q12,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",0,After work hours (6pm - 9pm)
p58,q12,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",1, Night/bar time (9pm - 2am)
p59,q12,After work hours (6pm - 9pm),0,After work hours (6pm - 9pm)
p60,q12,After work hours (6pm - 9pm),0,After work hours (6pm - 9pm)
p61,q12,Work hours (8am - 6pm),0,Work hours (8am - 6pm)
p62,q12,After work hours (6pm - 9pm),0,After work hours (6pm - 9pm)
p63,q12,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",0,After work hours (6pm - 9pm)
p63,q12,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",1, Night/bar time (9pm - 2am)
p64,q12,Work hours (8am - 6pm),0,Work hours (8am - 6pm)
p65,q12,"Work hours (8am - 6pm), After work hours (6pm - 9pm)",0,Work hours (8am - 6pm)
p65,q12,"Work hours (8am - 6pm), After work hours (6pm - 9pm)",1, After work hours (6pm - 9pm)
p66,q12,After work hours (6pm - 9pm),0,After work hours (6pm - 9pm)
p67,q12,After work hours (6pm - 9pm),0,After work hours (6pm - 9pm)
p68,q12,After work hours (6pm - 9pm),0,After work hours (6pm - 9pm)
p69,q12,After work hours (6pm - 9pm),0,After work hours (6pm - 9pm)
p70,q12,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",0,After work hours (6pm - 9pm)
p70,q12,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",1, Night/bar time (9pm - 2am)
p71,q12,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",0,After work hours (6pm - 9pm)
p71,q12,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",1, Night/bar time (9pm - 2am)
p72,q12,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",0,After work hours (6pm - 9pm)
p72,q12,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",1, Night/bar time (9pm - 2am)
p73,q12,Work hours (8am - 6pm),0,Work hours (8am - 6pm)
p74,q12,Work hours (8am - 6pm),0,Work hours (8am - 6pm)
p75,q12,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",0,After work hours (6pm - 9pm)
p75,q12,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",1, Night/bar time (9pm - 2am)
p76,q12,After work hours (6pm - 9pm),0,After work hours (6pm - 9pm)
p77,q12,After work hours (6pm - 9pm),0,After work hours (6pm - 9pm)
p78,q12,After work hours (6pm - 9pm),0,After work hours (6pm - 9pm)
p79,q12,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",0,After work hours (6pm - 9pm)
p79,q12,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",1, Night/bar time (9pm - 2am)
p80,q12,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",0,After work hours (6pm - 9pm)
p80,q12,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",1, Night/bar time (9pm - 2am)
p81,q12,After work hours (6pm - 9pm),0,After work hours (6pm - 9pm)
p82,q12,After work hours (6pm - 9pm),0,After work hours (6pm - 9pm)
p83,q12,After work hours (6pm - 9pm),0,After work hours (6pm - 9pm)
p84,q12,Work hours (8am - 6pm),0,Work hours (8am - 6pm)
p0,q13,Near West,0,Near West
p1,q13,"Near West, Downtown",0,Near West
p1,q13,"Near West, Downtown",1, Downtown
p2,q13,"Downtown, East",0,Downtown
p2,q13,"Downtown, East",1, East
p3,q13,Near West,0,Near West
p4,q13,"Near West, Downtown, East",0,Near West
p4,q13,"Near West, Downtown, East",1, Downtown
p4,q13,"Near West, Downtown, East",2, East
p5,q13,"Downtown, East",0,Downtown
p5,q13,"Downtown, East",1, East
p6,q13,Far West,0,Far West
p7,q13,"Downtown, East",0,Downtown
p7,q13,"Downtown, East",1, East
p8,q13,Downtown,0,Downtown
p9,q13,"Far West, Near West, Downtown",0,Far West
p9,q13,"Far West, Near West, Downtown",1, Near West
p9,q13,"Far West, Near West, Downtown",2, Downtown
p10,q13,"Downtown, East",0,Downtown
p10,q13,"Downtown, East",1, East
p11,q13,"Far West, Near West, Downtown",0,Far West
p11,q13,"Far West, Near West, Downtown",1, Near West
p11,q13,"Far West, Near West, Downtown",2, Downtown
p12,q13,"Downtown, East",0,Downtown
p12,q13,"Downtown, East",1, East
p13,q13,"Near West, Downtown",0,Near West
p13,q13,"Near West, Downtown",1, Downtown
p14,q13,"Near West, Downtown",0,Near West
p14,q13,"Near West, Downtown",1, Downtown
p15,q13,"Far West, Near West",0,Far West
p15,q13,"Far West, Near West",1, Near West
p16,q13,"Far West, Near West, Downtown",0,Far West
p16,q13,"Far West, Near West, Downtown",1, Near West
p16,q13,"Far West, Near West, Downtown",2, Downtown
p17,q13,Downtown,0,Downtown
p18,q13,"Far West, Near West, Downtown",0,Far West
p18,q13,"Far West, Near West, Downtown",1, Near West
p18,q13,"Far West, Near West, Downtown",2, Downtown
p19,q13,"Near West, Downtown, East",0,Near West
p19,q13,"Near West, Downtown, East",1, Downtown
p19,q13,"Near West, Downtown, East",2, East
p20,q13,Downtown,0,Downtown
p21,q13,Near West,0,Near West
p22,q13,"Near West, Downtown",0,Near West
p22,q13,"Near West, Downtown",1, Downtown
p23,q13,"Near West, Downtown, East",0,Near West
p23,q13,"Near West, Downtown, East",1, Downtown
p23,q13,"Near West, Downtown, East",2, East
p24,q13,"Near West, Downtown, East",0,Near West
p24,q13,"Near West, Downtown, East",1, Downtown
p24,q13,"Near West, Downtown, East",2, East
p25,q13,East,0,East
p26,q13,"Near West, Downtown",0,Near West
p26,q13,"Near West, Downtown",1, Downtown
p27,q13,"Near West, Downtown",0,Near West
p27,q13,"Near West, Downtown",1, Downtown
p28,q13,"Far West, Near West, Downtown",0,Far West
p28,q13,"Far West, Near West, Downtown",1, Near West
p28,q13,"Far West, Near West, Downtown",2, Downtown
p29,q13,Downtown,0,Downtown
p30,q13,"Downtown, East",0,Downtown
p30,q13,"Downtown, East",1, East
p31,q13,"Near West, Downtown",0,Near West
p31,q13,"Near West, Downtown",1, Downtown
p32,q13,"Near West, Downtown, East",0,Near West
p32,q13,"Near West, Downtown, East",1, Downtown
p32,q13,"Near West, Downtown, East",2, East
p33,q13,"Near West, Downtown, East",0,Near West
p33,q13,"Near West, Downtown, East",1, Downtown
p33,q13,"Near West, Downtown, East",2, East
p34,q13,Downtown,0,Downtown
p35,q13,Downtown,0,Downtown
p36,q13,"Downtown, East",0,Downtown
p36,q13,"Downtown, East",1, East
p37,q13,"Near West, Downtown",0,Near West
p37,q13,"Near West, Downtown",1, Downtown
p38,q13,Near West,0,Near West
p39,q13,"Near West, Downtown, East",0,Near West
p39,q13,"Near West, Downtown, East",1, Downtown
p39,q13,"Near West, Downtown, East",2, East
p40,q13,"Far West, Near West, Downtown, East",0,Far West
p40,q13,"Far West, Near West, Downtown, East",1, Near West
p40,q13,"Far West, Near West, Downtown, East",2, Downtown
p40,q13,"Far West, Near West, Downtown, East",3, East
p41,q13,"Far West, Near West, Downtown, East",0,Far West
p41,q13,"Far West, Near West, Downtown, East",1, Near West
p41,q13,"Far West, Near West, Downtown, East",2, Downtown
p41,q13,"Far West, Near West, Downtown, East",3, East
p42,q13,Near West,0,Near West
p43,q13,"Near West, Downtown, East",0,Near West
p43,q13,"Near West, Downtown, East",1, Downtown
p43,q13,"Near West, Downtown, East",2, East
p44,q13,"Downtown, East",0,Downtown
p44,q13,"Downtown, East",1, East
p45,q13,"Downtown, East",0,Downtown
p45,q13,"Downtown, East",1, East
p46,q13,"Downtown, East",0,Downtown
p46,q13,"Downtown, East",1, East
p47,q13,"Downtown, East",0,Downtown
p47,q13,"Downtown, East",1, East
p48,q13,"Far West, Near West",0,Far West
p48,q13,"Far West, Near West",1, Near West
p49,q13,"Near West, Downtown",0,Near West
p49,q13,"Near West, Downtown",1, Downtown
p50,q13,"Downtown, East",0,Downtown
p50,q13,"Downtown, East",1, East
p51,q13,"Downtown, East",0,Downtown
p51,q13,"Downtown, East",1, East
p52,q13,"Near West, Downtown",0,Near West
p52,q13,"Near West, Downtown",1, Downtown
p53,q13,Downtown,0,Downtown
p54,q13,"Near West, Downtown",0,Near West
p54,q13,"Near West, Downtown",1, Downtown
p55,q13,Downtown,0,Downtown
p56,q13,"Near West, Downtown, East",0,Near West
p56,q13,"Near West, Downtown, East",1, Downtown
p56,q13,"Near West, Downtown, East",2, East
p57,q13,"Downtown, East",0,Downtown
p57,q13,"Downtown, East",1, East
p58,q13,Downtown,0,Downtown
p59,q13,Downtown,0,Downtown
p60,q13,Near West,0,Near West
