person,question,response_n,response
p36,At what kind of facilities would you like to see the meetup?,0,Libraries
p36,At what kind of facilities would you like to see the meetup?,1,Offices
p37,At what kind of facilities would you like to see the meetup?,0,
p38,At what kind of facilities would you like to see the meetup?,0,Libraries
p38,At what kind of facilities would you like to see the meetup?,1,Bars
p39,At what kind of facilities would you like to see the meetup?,0,Libraries
p39,At what kind of facilities would you like to see the meetup?,1,Bars
p39,At what kind of facilities would you like to see the meetup?,2,Restaurants
p39,At what kind of facilities would you like to see the meetup?,3,Offices
p40,At what kind of facilities would you like to see the meetup?,0,Libraries
p40,At what kind of facilities would you like to see the meetup?,1,Bars
p40,At what kind of facilities would you like to see the meetup?,2,Restaurants
p40,At what kind of facilities would you like to see the meetup?,3,Offices
p41,At what kind of facilities would you like to see the meetup?,0,Libraries
p41,At what kind of facilities would you like to see the meetup?,1,Offices
p42,At what kind of facilities would you like to see the meetup?,0,Libraries
p42,At what kind of facilities would you like to see the meetup?,1,Bars
p42,At what kind of facilities would you like to see the meetup?,2,Offices
p43,At what kind of facilities would you like to see the meetup?,0,Libraries
p43,At what kind of facilities would you like to see the meetup?,1,Offices
p44,At what kind of facilities would you like to see the meetup?,0,Libraries
p44,At what kind of facilities would you like to see the meetup?,1,Restaurants
p44,At what kind of facilities would you like to see the meetup?,2,Offices
p45,At what kind of facilities would you like to see the meetup?,0,Libraries
p45,At what kind of facilities would you like to see the meetup?,1,Offices
p46,At what kind of facilities would you like to see the meetup?,0,Libraries
p46,At what kind of facilities would you like to see the meetup?,1,Bars
p46,At what kind of facilities would you like to see the meetup?,2,Restaurants
p46,At what kind of facilities would you like to see the meetup?,3,Offices
p47,At what kind of facilities would you like to see the meetup?,0,Libraries
p47,At what kind of facilities would you like to see the meetup?,1,Offices
p48,At what kind of facilities would you like to see the meetup?,0,Libraries
p48,At what kind of facilities would you like to see the meetup?,1,Offices
p49,At what kind of facilities would you like to see the meetup?,0,Libraries
p49,At what kind of facilities would you like to see the meetup?,1,Offices
p50,At what kind of facilities would you like to see the meetup?,0,Libraries
p50,At what kind of facilities would you like to see the meetup?,1,Bars
p50,At what kind of facilities would you like to see the meetup?,2,Offices
p51,At what kind of facilities would you like to see the meetup?,0,Libraries
p51,At what kind of facilities would you like to see the meetup?,1,Restaurants
p51,At what kind of facilities would you like to see the meetup?,2,Offices
p52,At what kind of facilities would you like to see the meetup?,0,Libraries
p52,At what kind of facilities would you like to see the meetup?,1,Bars
p52,At what kind of facilities would you like to see the meetup?,2,Offices
p53,At what kind of facilities would you like to see the meetup?,0,Libraries
p54,At what kind of facilities would you like to see the meetup?,0,Libraries
p54,At what kind of facilities would you like to see the meetup?,1,Offices
p55,At what kind of facilities would you like to see the meetup?,0,Libraries
p55,At what kind of facilities would you like to see the meetup?,1,Bars
p55,At what kind of facilities would you like to see the meetup?,2,Offices
p56,At what kind of facilities would you like to see the meetup?,0,Libraries
p57,At what kind of facilities would you like to see the meetup?,0,Libraries
p57,At what kind of facilities would you like to see the meetup?,1,Offices
p58,At what kind of facilities would you like to see the meetup?,0,Libraries
p58,At what kind of facilities would you like to see the meetup?,1,Bars
p59,At what kind of facilities would you like to see the meetup?,0,Libraries
p59,At what kind of facilities would you like to see the meetup?,1,Bars
p59,At what kind of facilities would you like to see the meetup?,2,Offices
p60,At what kind of facilities would you like to see the meetup?,0,Libraries
p60,At what kind of facilities would you like to see the meetup?,1,Offices
p61,At what kind of facilities would you like to see the meetup?,0,Libraries
p61,At what kind of facilities would you like to see the meetup?,1,Offices
p62,At what kind of facilities would you like to see the meetup?,0,
p63,At what kind of facilities would you like to see the meetup?,0,Libraries
p63,At what kind of facilities would you like to see the meetup?,1,Bars
p64,At what kind of facilities would you like to see the meetup?,0,Libraries
p64,At what kind of facilities would you like to see the meetup?,1,Offices
p65,At what kind of facilities would you like to see the meetup?,0,Libraries
p65,At what kind of facilities would you like to see the meetup?,1,Restaurants
p65,At what kind of facilities would you like to see the meetup?,2,Offices
p66,At what kind of facilities would you like to see the meetup?,0,Libraries
p66,At what kind of facilities would you like to see the meetup?,1,Bars
p66,At what kind of facilities would you like to see the meetup?,2,Restaurants
p67,At what kind of facilities would you like to see the meetup?,0,Libraries
p68,At what kind of facilities would you like to see the meetup?,0,Libraries
p68,At what kind of facilities would you like to see the meetup?,1,Restaurants
p68,At what kind of facilities would you like to see the meetup?,2,Offices
p69,At what kind of facilities would you like to see the meetup?,0,Libraries
p69,At what kind of facilities would you like to see the meetup?,1,Bars
p69,At what kind of facilities would you like to see the meetup?,2,Offices
p70,At what kind of facilities would you like to see the meetup?,0,Libraries
p70,At what kind of facilities would you like to see the meetup?,1,Offices
p71,At what kind of facilities would you like to see the meetup?,0,Libraries
p71,At what kind of facilities would you like to see the meetup?,1,Offices
p72,At what kind of facilities would you like to see the meetup?,0,Libraries
p72,At what kind of facilities would you like to see the meetup?,1,Offices
p73,At what kind of facilities would you like to see the meetup?,0,Libraries
p73,At what kind of facilities would you like to see the meetup?,1,Bars
p73,At what kind of facilities would you like to see the meetup?,2,Offices
p74,At what kind of facilities would you like to see the meetup?,0,Libraries
p74,At what kind of facilities would you like to see the meetup?,1,Restaurants
p74,At what kind of facilities would you like to see the meetup?,2,Offices
p75,At what kind of facilities would you like to see the meetup?,0,Libraries
p75,At what kind of facilities would you like to see the meetup?,1,Bars
p75,At what kind of facilities would you like to see the meetup?,2,Offices
p76,At what kind of facilities would you like to see the meetup?,0,Libraries
p76,At what kind of facilities would you like to see the meetup?,1,Central Lib - bars after! :)
p77,At what kind of facilities would you like to see the meetup?,0,Libraries
p77,At what kind of facilities would you like to see the meetup?,1,Offices
p78,At what kind of facilities would you like to see the meetup?,0,Libraries
p78,At what kind of facilities would you like to see the meetup?,1,Offices
p79,At what kind of facilities would you like to see the meetup?,0,Libraries
p80,At what kind of facilities would you like to see the meetup?,0,Libraries
p80,At what kind of facilities would you like to see the meetup?,1,Offices
p81,At what kind of facilities would you like to see the meetup?,0,Libraries
p81,At what kind of facilities would you like to see the meetup?,1,Bars
p81,At what kind of facilities would you like to see the meetup?,2,Restaurants
p81,At what kind of facilities would you like to see the meetup?,3,Offices
p81,At what kind of facilities would you like to see the meetup?,4,coffee shops
p81,At what kind of facilities would you like to see the meetup?,5,maker spaces; just about anywhere as long as it's comfortable
p81,At what kind of facilities would you like to see the meetup?,6,not too noisy/many distractions
p81,At what kind of facilities would you like to see the meetup?,7,the venue has sufficient seating/space
p81,At what kind of facilities would you like to see the meetup?,8,and has or supports appropriate presentation equipment
p82,At what kind of facilities would you like to see the meetup?,0,Libraries
p82,At what kind of facilities would you like to see the meetup?,1,Bars
p82,At what kind of facilities would you like to see the meetup?,2,Restaurants
p83,At what kind of facilities would you like to see the meetup?,0,Libraries
p83,At what kind of facilities would you like to see the meetup?,1,Offices
p84,At what kind of facilities would you like to see the meetup?,0,Libraries
p84,At what kind of facilities would you like to see the meetup?,1,Offices
p85,At what kind of facilities would you like to see the meetup?,0,Bars
p85,At what kind of facilities would you like to see the meetup?,1,Offices
p85,At what kind of facilities would you like to see the meetup?,2,classrooms
p86,At what kind of facilities would you like to see the meetup?,0,Bars
p86,At what kind of facilities would you like to see the meetup?,1,Restaurants
p86,At what kind of facilities would you like to see the meetup?,2,Offices
p87,At what kind of facilities would you like to see the meetup?,0,Libraries
p87,At what kind of facilities would you like to see the meetup?,1,Offices
p88,At what kind of facilities would you like to see the meetup?,0,Libraries
p88,At what kind of facilities would you like to see the meetup?,1,Offices
p89,At what kind of facilities would you like to see the meetup?,0,Libraries
p89,At what kind of facilities would you like to see the meetup?,1,Bars
p89,At what kind of facilities would you like to see the meetup?,2,Offices
p90,At what kind of facilities would you like to see the meetup?,0,Libraries
p91,At what kind of facilities would you like to see the meetup?,0,Libraries
